Title,Type,language,Date,Link
"ع / علوم وتقنيات /‫ جامعة الإمام عبدالرحمن بن فيصل تنظم ندوة ""الأبحاث الانتقالية: مستقبل الرعاية الصحية""",علوم و تقنيات,عربى,12/7/2024 11:29,https://spa.gov.sa/w2220618
"ع / عام / ""التجارة الخارجية"" تختتم البرنامج التدريبي في السياسات التجارية (RTPC)  للدول الشرق أوسطية",عام,عربى,12/7/2024 11:30,https://spa.gov.sa/w2220619
ع / سياسي / اهتمامات الصحف المصرية,سياسي,عربى,12/7/2024 11:38,https://spa.gov.sa/w2220621
ع / ثقافي / هيئة المسرح والفنون الأدائية تكشف عن أسماء المسرحيات المتأهلة للمشاركة بمهرجان الرياض المسرحي في دورته الثانية,ثقافي,عربى,12/7/2024 12:47,https://spa.gov.sa/w2220630
ع / سياسي / اهتمامات الصحف الجزائرية,سياسي,عربى,12/7/2024 12:57,https://spa.gov.sa/w2220634
ع / عام / الحملات الميدانية المشتركة تضبط (18489) مخالفًا لأنظمة الإقامة والعمل وأمن الحدود في مناطق المملكة خلال أسبوع,عام,عربى,12/7/2024 13:00,https://spa.gov.sa/w2220636
ع / سياسي / سمو وزير الخارجية يشارك في أعمال اليوم الأول لحوار المنامة,سياسي,عربى,12/7/2024 13:03,https://spa.gov.sa/w2220638
ع / اقتصادي / مطارات الرياض تفوز بجائزة أفضل إستراتيجية لإدارة المواهب في منطقة الشرق الأوسط  ,اقتصادي,عربى,12/7/2024 13:07,https://spa.gov.sa/w2220639
ع / سياسي / سمو وزير الخارجية يصل إلى قطر لحضور منتدى الدوحة,سياسي,عربى,12/7/2024 13:15,https://spa.gov.sa/w2220643
ع / علوم وتقنيات / الاتحاد الأوروبي والمملكة المتحدة يعقدان الحوار السيبراني الثاني,علوم و تقنيات,عربى,12/7/2024 13:20,https://spa.gov.sa/w2220645
ع / سياسي / أمير قطر يتلقى رسالة شفوية من الرئيس المصري,سياسي,عربى,12/7/2024 13:21,https://spa.gov.sa/w2220646
ع / سياسي / اهتمامات الصحف التونسية ,سياسي,عربى,12/7/2024 13:26,https://spa.gov.sa/w2220648
ع / اجتماعي / أكثر من 39 ألف متطوع ومتطوعة ينفذون مبادرات أمانة منطقة جازان خلال العام الحالي,إجتماعي,عربى,12/7/2024 13:37,https://spa.gov.sa/w2220653
"ع / اقتصادي / ""اتحاد الغرف"" ينظم ملتقى الأعمال السعودي السلوفيني غدًا ",اقتصادي,عربى,12/7/2024 13:55,https://spa.gov.sa/w2220658
ع / ثقافي / الإبل في المملكة.. علاقة أبدية خلدتها النقوش الصخرية,ثقافي,عربى,12/7/2024 13:58,https://spa.gov.sa/w2220659
